순번,업종명,업소명,도로명주소,블로그링크,위도,경도
1,수산,수산항물회,강원특별자치도 양양군 손양면 선사유적로 185,https://blog.naver.com/tingi40/223577298653,38.048128,128.68615
2,일식,히츠지야,경기도 화성시 동탄지성로 12 1층,https://blog.naver.com/tingi40/223581531638,37.20522,127.073258
3,일반,꽃피면 달이생각나고,경기 용인시 처인구 금령로93번길 9-1,https://blog.naver.com/tingi40/223582625916,37.236453,127.206177
4,카페,마롱베이커리,경기 화성시 정남면 세자로 251 마롱베이커리,https://blog.naver.com/tingi40/223585330144,37.190265,126.978366
5,한식,화개장터,경기 수원시 팔달구 덕영대로 924 6층,https://blog.naver.com/tingi40/223586227816,37.266494,127.000203
6,한식,청와옥,"서울 서초구 강남대로8길 3 1층, 2층",https://blog.naver.com/tingi40/223587130580,37.468171,127.041515
7,일반음식점,충무할매낙지볶음,"대전광역시 서구 도산로 141, 1,2층 (도마동)",,36.33524897,127.3898799
8,일반음식점,멕시카나치킨,대전광역시 서구 도산로 84 (도마동),,36.33779189,127.395534
9,일반음식점,정림가든,대전광역시 서구 도산로 103 (도마동),,36.30751669,127.3692215
10,일반음식점,우남성,대전광역시 서구 사마1길 22 (도마동),,36.29970961,127.3634456
11,일반음식점,대화장,대전광역시 서구 도마2길 19 (도마동),,36.31728979,127.3772282
12,일반음식점,궁중칼국수한민점,"대전광역시 서구 배재로 155-26 (도마동,경남상가 2층 211호)",,36.33380621,127.3823405
13,일반음식점,힐링호프,대전광역시 서구 유등로505번길 36 (용문동),,36.32996427,127.3866933
14,일반음식점,대성콩국수,대전광역시 서구 도마로7번길 4 (도마동),,36.321082,127.3775281
15,일반음식점,광성루,대전광역시 서구 갈마로 170 (괴정동),,36.31589467,127.3790813
16,일반음식점,섬마을홍어아가씨,대전광역시 서구 도솔로 15-1 (도마동),,36.35289828,127.3603513
17,일반음식점,돈수원갈비,대전광역시 서구 동서대로1080번길 1 (변동),,36.31755666,127.3779301
18,일반음식점,원조연산순대,대전광역시 서구 도솔로 55 (도마동),,36.31751449,127.3786116
19,일반음식점,한마음면옥식당,대전광역시 서구 동서대로1030번길 5-2 (내동),,36.31722094,127.376655
20,일반음식점,금성갈비향기,대전광역시 서구 계백로776번길 134 (관저동),,36.33920658,127.3937802
